,year,month,interest_rate,unemployment_rate,index_price
0,2017,12,2.75,5.3,1464
1,2017,11,2.5,5.3,1394
2,2017,10,2.5,5.3,1357
3,2017,9,2.5,5.3,1293
4,2017,8,2.5,5.4,1200
5,2017,7,2.5,5.5,1195
6,2017,6,2.5,5.5,1190
7,2017,5,2.25,5.6,1185
8,2017,4,2.25,5.4,1175
9,2017,3,2.25,5.5,1170
10,2017,2,2,5.5,1020
11,2017,1,2,5.6,1000
12,2016,1,2,5.6,999
13,2016,4,2,5.6,970
14,2016,3,2,5.7,945
15,2016,5,2,5.8,920
16,2016,8,1.75,5.5,870
17,2016,7,1.75,5.6,875
18,2016,2,1.75,5.6,890
19,2016,6,1.75,5.7,880
20,2016,9,1.5,5.6,750
21,2016,10,1.5,5.4,740
22,2016,12,1.5,5.8,725
23,2016,11,1.25,5.4,720
24,2016,10,1.25,5.5,625
